YearMonth,Year,Month,Month_Name,Row_Type,Category,Sub-Category,Region,Segment,Sales,Profit,Quantity,Discount,Profit_Margin_Pct,Sales_Prior_Month,Sales_MoM_Variance,Sales_MoM_Variance_Pct,Sales_Prior_Year,Sales_YoY_Variance,Sales_YoY_Variance_Pct,Sales_Forecast,Forecast_vs_Actual_Delta,Variance_Direction
2023-01-01,2023,1,Jan,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,,,,,,,,,Flat
2023-02-01,2023,2,Feb,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-03-01,2023,3,Mar,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-04-01,2023,4,Apr,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-05-01,2023,5,May,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Flat
2023-06-01,2023,6,Jun,Actual,Furniture,Bookcases,Central,Consumer,193.07,-19.87,4.0,0.32,-10.29,0.0,193.07,,,,,0.0,193.07,Positive
2023-07-01,2023,7,Jul,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,193.07,-193.07,-100.0,,,,64.36,-64.36,Negative
2023-08-01,2023,8,Aug,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,64.36,-64.36,Flat
2023-09-01,2023,9,Sep,Actual,Furniture,Bookcases,Central,Consumer,493.43,-70.49,5.0,0.3,-14.29,0.0,493.43,,,,,64.36,429.07,Positive
2023-10-01,2023,10,Oct,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,493.43,-493.43,-100.0,,,,164.48,-164.48,Negative
2023-11-01,2023,11,Nov,Actual,Furniture,Bookcases,Central,Consumer,424.12,-30.29,6.0,0.3,-7.14,0.0,424.12,,,,,164.48,259.64,Positive
2023-12-01,2023,12,Dec,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,424.12,-424.12,-100.0,,,,305.85,-305.85,Negative
2024-01-01,2024,1,Jan,Actual,Furniture,Bookcases,Central,Consumer,1352.4,-437.54,9.0,0.32,-32.35,0.0,1352.4,,0.0,1352.4,,141.37,1211.03,Positive
2024-02-01,2024,2,Feb,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,1352.4,-1352.4,-100.0,0.0,0.0,,592.17,-592.17,Negative
2024-03-01,2024,3,Mar,Actual,Furniture,Bookcases,Central,Consumer,512.94,97.46,3.0,0.0,19.0,0.0,512.94,,0.0,512.94,,450.8,62.14,Positive
2024-04-01,2024,4,Apr,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,512.94,-512.94,-100.0,0.0,0.0,,621.78,-621.78,Negative
2024-05-01,2024,5,May,Actual,Furniture,Bookcases,Central,Consumer,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,170.98,-170.98,Flat
