Country,Revenue,Order_Count,Line_Items,Avg_Order_Value,Unique_Customers,Rank,Is_Top10
United Kingdom,17870977.76,36535,958501,489.15,5350,1,1
EIRE,664431.78,626,17349,1061.39,5,2,1
Netherlands,554232.34,228,5088,2430.84,22,3,1
Germany,431262.46,789,16694,546.59,107,4,1
France,356944.6,622,13940,573.87,95,5,1
Australia,169968.11,95,1812,1789.14,15,6,1
Spain,109178.53,154,3719,708.95,41,7,1
Switzerland,101011.29,93,3136,1086.14,22,8,1
Sweden,91903.72,105,1338,875.27,19,9,1
Denmark,69862.19,43,798,1624.7,12,10,1
Belgium,65753.42,149,3068,441.3,29,11,0
Norway,60109.62,45,1436,1335.77,13,12,0
Portugal,58016.65,95,2562,610.7,24,13,0
Japan,47138.39,33,485,1428.44,10,14,0
Channel Islands,44996.76,55,1569,818.12,13,15,0
Italy,32550.42,65,1468,500.78,17,16,0
Finland,29925.54,57,1032,525.01,14,17,0
Singapore,25317.06,11,339,2301.55,1,18,0
Cyprus,24980.13,37,1155,675.14,11,19,0
Hong Kong,23894.32,15,358,1592.95,0,20,0
Austria,23613.01,45,922,524.73,13,21,0
Greece,19096.19,18,657,1060.9,5,22,0
Israel,11334.66,10,369,1133.47,4,23,0
United Arab Emirates,11097.63,16,467,693.6,4,24,0
Unspecified,10936.01,24,752,455.67,6,25,0
Poland,10902.45,28,512,389.37,6,26,0
USA,8366.86,20,409,418.34,9,27,0
Malta,8099.09,9,282,899.9,2,28,0
Lithuania,6553.74,6,189,1092.29,1,29,0
Iceland,5633.32,8,253,704.16,1,30,0
Canada,4883.04,8,228,610.38,5,31,0
RSA,4804.32,4,167,1201.08,2,32,0
Bahrain,3109.79,10,124,310.98,2,33,0
Thailand,3070.54,2,76,1535.27,1,34,0
Lebanon,1905.58,2,57,952.79,1,35,0
Brazil,1411.87,2,94,705.94,2,36,0
European Community,1300.25,4,60,325.06,1,37,0
Bermuda,1253.14,1,34,1253.14,0,38,0
Korea,1118.51,2,53,559.26,2,39,0
Czech Republic,826.74,2,25,413.37,1,40,0
West Indies,536.41,1,54,536.41,1,41,0
Saudi Arabia,145.92,1,9,145.92,1,42,0
Nigeria,140.39,2,30,70.19,1,43,0
