Date,Revenue,Order_Count,Unique_Customers,Line_Items,Avg_Order_Value,Revenue_7day_MA,Anomaly_Flag,Anomaly_Type,Rolling_Mean_30,Rolling_Std_30,Year,Month,Month_Name,DayOfWeek,WeekNumber
2009-12-01,54513.5,119,91,3105,458.1,54513.5,0,Normal,,,2009,12,Dec,Tuesday,49
2009-12-02,63352.51,115,94,3250,550.89,58933.0,0,Normal,,,2009,12,Dec,Wednesday,49
2009-12-03,74037.91,124,106,2946,597.08,63967.97,0,Normal,,,2009,12,Dec,Thursday,49
2009-12-04,40732.92,89,76,2528,457.67,58159.21,0,Normal,,,2009,12,Dec,Friday,49
2009-12-05,9803.05,30,26,400,326.77,48487.98,0,Normal,,,2009,12,Dec,Saturday,49
2009-12-06,24613.64,74,63,1911,332.62,44508.92,0,Normal,,,2009,12,Dec,Sunday,49
2009-12-07,45083.35,101,77,2824,446.37,44590.98,0,Normal,44590.98,22143.45,2009,12,Dec,Monday,50
2009-12-08,49517.23,109,91,2189,454.29,43877.23,0,Normal,45206.76,20574.7,2009,12,Dec,Tuesday,50
2009-12-09,40616.09,88,74,2433,461.55,40629.17,0,Normal,44696.69,19306.61,2009,12,Dec,Wednesday,50
2009-12-10,44442.11,92,82,2403,483.07,36401.2,0,Normal,44671.23,18202.62,2009,12,Dec,Thursday,50
2009-12-11,39659.6,70,58,1439,566.57,36247.87,0,Normal,44215.63,17334.51,2009,12,Dec,Friday,50
2009-12-13,22313.09,71,63,1767,314.27,38035.02,0,Normal,42390.42,17695.91,2009,12,Dec,Sunday,50
2009-12-14,73327.66,90,69,4064,814.75,44994.16,0,Normal,44770.2,18991.42,2009,12,Dec,Monday,51
2009-12-15,50340.24,98,89,1973,513.68,45745.15,0,Normal,45168.06,18306.99,2009,12,Dec,Tuesday,51
2009-12-16,52792.25,98,81,3207,538.7,46213.01,0,Normal,45676.34,17750.55,2009,12,Dec,Wednesday,51
2009-12-17,31239.47,104,77,1866,300.38,44873.49,0,Normal,44774.04,17524.36,2009,12,Dec,Thursday,51
