DayOfWeek,Hour,Revenue,Order_Count,Line_Items,DayOfWeek_Order
Monday,7,15880.42,14,156,1
Monday,8,91876.36,170,2970,1
Monday,9,327820.9,506,15412,1
Monday,10,433143.96,734,17503,1
Monday,11,399242.13,736,19093,1
Monday,12,445842.1,1003,25578,1
Monday,13,491888.78,942,26574,1
Monday,14,390143.3,816,22560,1
Monday,15,357006.55,756,22818,1
Monday,16,422278.75,469,17011,1
Monday,17,246369.57,188,13315,1
Monday,18,23263.76,17,1924,1
Tuesday,7,11532.26,17,254,2
Tuesday,8,117821.12,205,2921,2
Tuesday,9,355689.26,631,13326,2
Tuesday,10,549367.65,817,15485,2
Tuesday,11,549682.65,839,18680,2
Tuesday,12,509953.72,1120,27893,2
Tuesday,13,501996.27,1042,26665,2
Tuesday,14,409190.65,860,23781,2
Tuesday,15,597748.69,829,26797,2
Tuesday,16,355438.32,504,19278,2
Tuesday,17,154897.69,313,11046,2
Tuesday,18,56869.06,81,4517,2
Tuesday,19,14707.77,31,285,2
Tuesday,20,967.8,2,9,2
Wednesday,7,10130.76,12,181,3
Wednesday,8,90849.22,202,3467,3
Wednesday,9,305189.21,555,11724,3
Wednesday,10,494863.6,846,15018,3
Wednesday,11,439008.05,836,19670,3
Wednesday,12,582565.35,1221,28193,3
Wednesday,13,457286.44,1047,24290,3
Wednesday,14,432223.01,960,24696,3
Wednesday,15,385321.1,783,24726,3
Wednesday,16,254740.97,516,16543,3
Wednesday,17,132282.86,203,11844,3
Wednesday,18,1244.9,1,159,3
Wednesday,19,3053.4,2,15,3
Wednesday,20,13031.5,1,18,3
Thursday,6,4.25,1,1,4
Thursday,7,16494.41,22,290,4
Thursday,8,123183.27,213,3064,4
Thursday,9,333534.66,553,13574,4
Thursday,10,521513.18,858,17102,4
Thursday,11,433318.04,825,18199,4
Thursday,12,558988.13,1153,25205,4
Thursday,13,417552.03,1000,25152,4
Thursday,14,479461.07,918,25483,4
Thursday,15,516595.96,859,20542,4
Thursday,16,353719.6,667,18738,4
Thursday,17,231090.19,520,10627,4
Thursday,18,184246.64,361,9102,4
Thursday,19,110856.38,290,8160,4
Thursday,20,25834.36,49,2013,4
Friday,7,22194.72,12,183,5
Friday,8,108720.71,208,3257,5
Friday,9,477107.86,503,12908,5
Friday,10,452088.86,829,16544,5
Friday,11,432976.77,811,19687,5
Friday,12,453827.47,949,20802,5
Friday,13,373063.63,821,18665,5
Friday,14,424027.26,837,21302,5
Friday,15,332239.37,608,15999,5
Friday,16,169622.37,323,10732,5
Friday,17,114199.93,180,8686,5
Friday,18,16514.63,6,631,5
Friday,19,373.46,9,89,5
Friday,20,22.14,1,8,5
Saturday,10,1059.74,6,30,6
Saturday,11,230.2,1,4,6
Saturday,12,2110.65,6,102,6
Saturday,13,2520.49,7,101,6
Saturday,14,1130.93,3,56,6
Saturday,15,1599.74,5,70,6
Saturday,16,1151.3,2,37,6
Sunday,9,2853.12,6,80,7
Sunday,10,177234.81,520,8945,7
Sunday,11,330063.61,855,23058,7
Sunday,12,356937.93,975,28764,7
Sunday,13,358262.61,836,25852,7
Sunday,14,249419.25,677,20617,7
Sunday,15,287693.07,726,21438,7
Sunday,16,84174.01,237,9305,7
Sunday,17,371.88,3,71,7
